rfid_tag,attendee_id,location_id,timestamp
R1076,A170,FOOD_COURT,2025-09-01T12:09:40
R1086,A302,LOBBY,2025-09-01T17:16:42
R1297,A107,HALL_C,2025-09-01T17:22:17
R1300,A166,HALL_A,2025-09-01T08:56:43
R1196,A126,FOOD_COURT,2025-09-01T08:14:22
R1199,A327,HALL_B,2025-09-01T16:32:44
R1029,A314,HALL_A,2025-09-01T12:07:45
R1295,A363,HALL_B,2025-09-01T08:16:46
R1069,A149,HALL_B,2025-09-01T09:23:57
R1191,A289,HALL_B,2025-09-01T16:13:51
R1253,A160,FOOD_COURT,2025-09-01T13:28:55
R1065,A189,HALL_A,2025-09-01T17:13:15
R1287,A263,HALL_B,2025-09-01T10:19:19
R1228,A245,HALL_A,2025-09-01T09:12:31
R1034,A269,FOOD_COURT,2025-09-01T09:09:21
R1197,A324,HALL_A,2025-09-01T11:01:06
R1011,A388,HALL_C,2025-09-01T08:07:41
R1078,A157,FOOD_COURT,2025-09-01T09:23:31
R1090,A336,HALL_B,2025-09-01T10:14:28
R1112,A173,LOBBY,2025-09-01T16:48:26
R1119,A192,HALL_B,2025-09-01T12:00:24
R1134,A246,HALL_C,2025-09-01T12:13:11
R1236,A188,HALL_A,2025-09-01T17:55:11
R1127,A231,LOBBY,2025-09-01T16:59:40
R1251,A253,HALL_A,2025-09-01T11:45:39
R1246,A282,HALL_C,2025-09-01T09:37:43
R1116,A369,LOBBY,2025-09-01T10:06:06
R1154,A224,HALL_C,2025-09-01T10:32:26
R1006,A219,HALL_C,2025-09-01T17:06:23
R1122,A198,HALL_B,2025-09-01T13:43:12
R1029,A225,HALL_B,2025-09-01T08:43:02
R1159,A229,HALL_B,2025-09-01T09:05:25
R1131,A229,HALL_A,2025-09-01T16:02:32
R1091,A237,FOOD_COURT,2025-09-01T10:53:57
R1026,A114,HALL_B,2025-09-01T09:05:23
R1163,A119,HALL_B,2025-09-01T16:50:50
R1077,A186,HALL_B,2025-09-01T15:12:35
R1046,A113,LOBBY,2025-09-01T16:12:35
R1023,A119,FOOD_COURT,2025-09-01T16:04:35
R1135,A118,HALL_A,2025-09-01T16:40:17
R1267,A168,LOBBY,2025-09-01T10:53:35
R1136,A273,HALL_C,2025-09-01T16:26:23
R1020,A373,HALL_A,2025-09-01T12:03:11
R1155,A164,FOOD_COURT,2025-09-01T08:36:40
R1169,A281,HALL_C,2025-09-01T13:06:31
R1194,A282,HALL_A,2025-09-01T17:41:33
R1055,A398,HALL_C,2025-09-01T08:25:47
R1169,A196,FOOD_COURT,2025-09-01T10:08:13
R1187,A176,HALL_A,2025-09-01T09:54:24
R1080,A142,LOBBY,2025-09-01T10:20:13
R1001,A220,HALL_A,2025-09-01T10:51:05
R1257,A201,HALL_B,2025-09-01T17:27:30
R1175,A290,HALL_B,2025-09-01T11:44:53
R1031,A323,LOBBY,2025-09-01T15:37:16
R1177,A368,LOBBY,2025-09-01T16:17:23
R1278,A375,HALL_B,2025-09-01T08:03:31
R1209,A388,FOOD_COURT,2025-09-01T08:34:42
R1141,A333,HALL_C,2025-09-01T10:26:04
R1107,A383,LOBBY,2025-09-01T16:34:37
R1126,A229,HALL_A,2025-09-01T15:40:47
R1238,A319,FOOD_COURT,2025-09-01T16:49:48
R1297,A397,HALL_B,2025-09-01T10:02:43
R1208,A219,HALL_C,2025-09-01T13:13:57
R1093,A398,HALL_B,2025-09-01T16:54:32
R1004,A285,LOBBY,2025-09-01T08:43:23
R1101,A322,FOOD_COURT,2025-09-01T15:18:49
R1177,A357,HALL_A,2025-09-01T08:01:16
R1099,A317,HALL_B,2025-09-01T13:45:02
R1068,A272,HALL_A,2025-09-01T16:15:53
R1300,A171,LOBBY,2025-09-01T14:00:34
R1175,A166,LOBBY,2025-09-01T17:57:13
R1272,A318,LOBBY,2025-09-01T08:19:44
R1121,A192,HALL_A,2025-09-01T10:58:42
R1016,A129,FOOD_COURT,2025-09-01T17:13:19
R1236,A125,HALL_A,2025-09-01T08:59:05
R1160,A172,HALL_B,2025-09-01T11:57:09
R1282,A108,LOBBY,2025-09-01T14:25:41
R1001,A333,HALL_A,2025-09-01T10:20:19
R1266,A300,HALL_A,2025-09-01T13:11:15
R1025,A149,FOOD_COURT,2025-09-01T14:40:49
R1127,A150,HALL_A,2025-09-01T14:00:17
R1103,A154,HALL_B,2025-09-01T12:42:59
R1220,A186,HALL_A,2025-09-01T11:42:41
R1159,A155,HALL_C,2025-09-01T15:08:55
R1033,A258,FOOD_COURT,2025-09-01T12:38:52
R1069,A234,HALL_C,2025-09-01T10:44:32
R1051,A286,LOBBY,2025-09-01T13:10:46
R1243,A149,HALL_C,2025-09-01T10:57:25
R1226,A216,HALL_A,2025-09-01T17:19:10
R1230,A240,HALL_C,2025-09-01T16:18:21
R1275,A331,HALL_C,2025-09-01T12:08:46
R1069,A364,HALL_C,2025-09-01T13:35:53
R1028,A252,FOOD_COURT,2025-09-01T09:04:40
R1155,A363,HALL_A,2025-09-01T09:10:00
R1158,A286,HALL_B,2025-09-01T17:17:16
R1281,A369,HALL_A,2025-09-01T15:07:30
R1085,A205,LOBBY,2025-09-01T17:40:37
R1288,A242,LOBBY,2025-09-01T13:24:46
R1044,A384,HALL_A,2025-09-01T14:54:53
R1162,A352,FOOD_COURT,2025-09-01T14:50:50
R1070,A246,HALL_A,2025-09-01T15:28:37
R1210,A226,HALL_A,2025-09-01T08:34:31
R1244,A194,LOBBY,2025-09-01T09:31:11
R1049,A272,HALL_C,2025-09-01T09:59:27
R1217,A317,HALL_B,2025-09-01T10:45:00
R1252,A367,HALL_C,2025-09-01T12:29:49
R1070,A289,HALL_A,2025-09-01T12:40:08
R1015,A149,FOOD_COURT,2025-09-01T15:16:36
