ticket_id,attendee_id,gate_id,timestamp
T0001,A170,G1,2025-09-01T14:16:11
T0002,A323,G3,2025-09-01T12:10:30
T0003,A149,G2,2025-09-01T10:22:38
T0004,A142,G1,2025-09-01T08:57:46
T0005,A386,G4,2025-09-01T10:47:34
T0006,A160,G4,2025-09-01T16:44:20
T0007,A213,G1,2025-09-01T11:25:41
T0008,A339,G3,2025-09-01T15:38:24
T0009,A376,G1,2025-09-01T09:33:58
T0010,A178,G1,2025-09-01T08:38:40
T0011,A146,G2,2025-09-01T08:31:47
T0012,A124,G1,2025-09-01T16:28:18
T0013,A377,G2,2025-09-01T14:29:19
T0014,A148,G2,2025-09-01T17:57:19
T0015,A371,G1,2025-09-01T15:27:38
T0016,A299,G2,2025-09-01T10:28:37
T0017,A381,G3,2025-09-01T13:06:23
T0018,A356,G2,2025-09-01T08:31:02
T0019,A386,G3,2025-09-01T14:05:07
T0020,A161,G4,2025-09-01T17:46:55
T0021,A270,G1,2025-09-01T15:27:47
T0022,A187,G2,2025-09-01T12:15:58
T0023,A396,G2,2025-09-01T15:57:43
T0024,A230,G3,2025-09-01T08:04:28
T0025,A334,G4,2025-09-01T15:30:25
T0026,A361,G2,2025-09-01T15:00:15
T0027,A146,G2,2025-09-01T15:18:46
T0028,A398,G1,2025-09-01T09:30:56
T0029,A246,G3,2025-09-01T13:38:05
T0030,A123,G2,2025-09-01T10:06:11
T0031,A392,G2,2025-09-01T16:24:33
T0032,A268,G4,2025-09-01T17:38:10
T0033,A381,G1,2025-09-01T12:29:08
T0034,A156,G1,2025-09-01T14:44:56
T0035,A224,G4,2025-09-01T11:39:20
T0036,A232,G2,2025-09-01T17:37:01
T0037,A275,G1,2025-09-01T10:20:54
T0038,A215,G2,2025-09-01T14:05:06
T0039,A384,G2,2025-09-01T14:20:32
T0040,A375,G3,2025-09-01T16:06:02
T0041,A220,G3,2025-09-01T10:53:58
T0042,A262,G2,2025-09-01T13:28:35
T0043,A214,G4,2025-09-01T12:59:57
T0044,A120,G1,2025-09-01T11:15:41
T0045,A241,G1,2025-09-01T11:37:56
T0046,A364,G1,2025-09-01T10:52:37
T0047,A257,G4,2025-09-01T16:57:53
T0048,A117,G4,2025-09-01T15:19:44
T0049,A103,G3,2025-09-01T14:06:40
T0050,A106,G3,2025-09-01T15:55:17
T0051,A252,G4,2025-09-01T09:56:29
T0052,A235,G2,2025-09-01T09:55:10
T0053,A209,G1,2025-09-01T11:09:41
T0054,A365,G1,2025-09-01T15:46:37
T0055,A357,G1,2025-09-01T16:18:05
T0056,A334,G4,2025-09-01T10:55:42
T0057,A101,G2,2025-09-01T12:22:29
T0058,A142,G3,2025-09-01T12:58:03
T0059,A269,G1,2025-09-01T17:17:11
T0060,A260,G1,2025-09-01T14:26:02
T0061,A234,G2,2025-09-01T10:03:15
T0062,A344,G2,2025-09-01T15:09:08
T0063,A362,G2,2025-09-01T17:49:25
T0064,A118,G2,2025-09-01T10:03:08
T0065,A142,G1,2025-09-01T11:33:59
T0066,A350,G4,2025-09-01T10:26:44
T0067,A377,G1,2025-09-01T09:41:41
T0068,A244,G1,2025-09-01T10:55:42
T0069,A195,G1,2025-09-01T10:41:49
T0070,A368,G2,2025-09-01T10:07:47
T0071,A208,G1,2025-09-01T15:35:54
T0072,A390,G3,2025-09-01T08:03:16
T0073,A148,G4,2025-09-01T09:14:23
T0074,A231,G3,2025-09-01T11:47:18
T0075,A158,G2,2025-09-01T10:19:52
T0076,A272,G3,2025-09-01T17:38:13
T0077,A183,G4,2025-09-01T09:49:02
T0078,A247,G3,2025-09-01T13:48:49
T0079,A119,G3,2025-09-01T15:24:40
T0080,A210,G4,2025-09-01T09:42:17
T0081,A342,G1,2025-09-01T09:55:53
T0082,A154,G4,2025-09-01T09:44:40
T0083,A250,G4,2025-09-01T09:17:37
T0084,A124,G2,2025-09-01T16:07:33
T0085,A270,G3,2025-09-01T11:12:27
T0086,A325,G2,2025-09-01T17:37:08
T0087,A114,G4,2025-09-01T15:22:27
T0088,A141,G3,2025-09-01T16:13:37
T0089,A202,G4,2025-09-01T11:44:46
T0090,A139,G2,2025-09-01T08:00:36
T0091,A387,G2,2025-09-01T11:24:50
T0092,A127,G1,2025-09-01T11:29:06
T0093,A153,G4,2025-09-01T13:47:50
T0094,A325,G1,2025-09-01T11:31:58
T0095,A218,G2,2025-09-01T14:35:22
T0096,A330,G4,2025-09-01T08:54:58
T0097,A224,G3,2025-09-01T14:42:51
T0098,A153,G1,2025-09-01T11:21:35
T0099,A260,G2,2025-09-01T12:07:14
T0100,A286,G1,2025-09-01T08:18:34
T0101,A370,G2,2025-09-01T09:05:00
T0102,A363,G4,2025-09-01T10:28:05
T0103,A168,G2,2025-09-01T14:54:53
T0104,A378,G3,2025-09-01T12:34:22
T0105,A321,G3,2025-09-01T16:45:12
T0106,A211,G1,2025-09-01T14:23:27
T0107,A344,G3,2025-09-01T09:36:42
T0108,A261,G3,2025-09-01T13:33:41
T0109,A396,G3,2025-09-01T10:22:03
T0110,A390,G4,2025-09-01T15:52:40
T0111,A244,G3,2025-09-01T08:03:58
T0112,A231,G3,2025-09-01T09:23:50
T0113,A229,G1,2025-09-01T17:41:23
T0114,A328,G3,2025-09-01T08:54:17
T0115,A178,G4,2025-09-01T11:37:58
T0116,A108,G1,2025-09-01T15:04:47
T0117,A225,G3,2025-09-01T09:27:11
T0118,A285,G3,2025-09-01T15:36:59
T0119,A333,G1,2025-09-01T11:12:30
T0120,A306,G2,2025-09-01T17:21:37
T0121,A337,G3,2025-09-01T13:17:45
T0122,A236,G3,2025-09-01T10:56:00
T0123,A267,G2,2025-09-01T11:50:47
T0124,A268,G3,2025-09-01T09:51:02
T0125,A204,G1,2025-09-01T15:28:15
T0126,A258,G3,2025-09-01T11:57:32
T0127,A285,G2,2025-09-01T12:45:30
T0128,A156,G3,2025-09-01T13:26:24
T0129,A213,G3,2025-09-01T15:36:49
T0130,A263,G1,2025-09-01T10:26:52
T0131,A102,G3,2025-09-01T14:13:13
T0132,A237,G4,2025-09-01T15:28:29
T0133,A328,G1,2025-09-01T16:27:42
T0134,A368,G2,2025-09-01T15:09:19
T0135,A287,G4,2025-09-01T17:10:11
T0136,A203,G4,2025-09-01T09:17:06
T0137,A281,G4,2025-09-01T09:47:40
T0138,A167,G1,2025-09-01T11:47:58
T0139,A120,G2,2025-09-01T09:59:13
T0140,A347,G2,2025-09-01T16:49:21
T0141,A134,G1,2025-09-01T16:04:31
T0142,A203,G4,2025-09-01T16:20:23
T0143,A140,G1,2025-09-01T12:02:14
T0144,A377,G3,2025-09-01T14:32:50
T0145,A340,G3,2025-09-01T16:48:07
T0146,A205,G3,2025-09-01T12:46:49
T0147,A227,G3,2025-09-01T17:57:49
T0148,A217,G1,2025-09-01T16:12:20
T0149,A240,G4,2025-09-01T14:46:12
T0150,A302,G3,2025-09-01T15:57:33
T0151,A276,G1,2025-09-01T14:37:56
T0152,A194,G3,2025-09-01T10:30:42
T0153,A184,G2,2025-09-01T11:37:20
T0154,A154,G1,2025-09-01T08:59:21
T0155,A169,G3,2025-09-01T08:00:24
T0156,A238,G4,2025-09-01T17:21:16
T0157,A359,G1,2025-09-01T13:19:17
T0158,A213,G1,2025-09-01T11:45:58
T0159,A291,G3,2025-09-01T09:19:34
T0160,A324,G4,2025-09-01T17:09:30
T0161,A155,G2,2025-09-01T11:38:44
T0162,A251,G1,2025-09-01T11:46:33
T0163,A251,G1,2025-09-01T14:50:27
T0164,A202,G3,2025-09-01T13:12:15
T0165,A116,G3,2025-09-01T13:18:43
T0166,A396,G2,2025-09-01T08:17:06
T0167,A123,G1,2025-09-01T16:36:24
T0168,A162,G4,2025-09-01T11:25:31
T0169,A102,G4,2025-09-01T15:25:12
T0170,A395,G4,2025-09-01T10:48:04
T0171,A353,G3,2025-09-01T13:34:12
T0172,A388,G2,2025-09-01T09:34:48
T0173,A300,G3,2025-09-01T15:09:13
T0174,A145,G4,2025-09-01T08:22:51
T0175,A356,G4,2025-09-01T14:46:52
T0176,A380,G3,2025-09-01T10:53:37
T0177,A384,G4,2025-09-01T13:00:15
T0178,A364,G2,2025-09-01T12:01:35
T0179,A335,G1,2025-09-01T09:13:05
T0180,A157,G1,2025-09-01T15:34:08
T0181,A277,G2,2025-09-01T10:06:36
T0182,A182,G4,2025-09-01T14:55:59
T0183,A398,G4,2025-09-01T08:14:50
T0184,A232,G4,2025-09-01T12:52:05
T0185,A327,G1,2025-09-01T16:14:41
T0186,A328,G3,2025-09-01T09:51:47
T0187,A299,G1,2025-09-01T16:17:11
T0188,A151,G2,2025-09-01T14:48:28
T0189,A113,G3,2025-09-01T17:13:17
T0190,A200,G4,2025-09-01T10:19:48
T0191,A141,G3,2025-09-01T13:54:51
T0192,A200,G3,2025-09-01T11:07:45
T0193,A263,G2,2025-09-01T11:11:45
T0194,A186,G4,2025-09-01T13:05:31
T0195,A201,G4,2025-09-01T09:14:05
T0196,A243,G1,2025-09-01T15:59:04
T0197,A390,G4,2025-09-01T09:32:37
T0198,A316,G1,2025-09-01T16:24:17
